Decade,TotalFaces,PagesWithFaces,TotalPages,PercentageWithFaces
1880,1,1,34,2.941176470588235
1890,17,12,52,23.076923076923077
1900,25,17,68,25.0
1910,27,17,52,32.69230769230769
1920,46,29,64,45.3125
1930,31,19,54,35.18518518518518
1940,24,16,56,28.57142857142857
1950,105,47,94,50.0
1960,175,60,144,41.66666666666667
1970,202,82,200,41.0
1980,343,106,210,50.476190476190474
1990,210,96,202,47.524752475247524
2000,657,153,216,70.83333333333334
2010,699,146,188,77.6595744680851
